0,City,Country,Latitude,Temperature,Humidity,Cloud Cover,Wind Speed,Date
<citipy.citipy.City object at 0x000001F1EBB7B240>,nizhneyansk,ru,,,,,,
<citipy.citipy.City object at 0x000001F1EB33DC50>,mahebourg,mu,-20.41,80.6,78,40,2.24,1514653200
<citipy.citipy.City object at 0x000001F1EAFFDCC0>,bushehr,ir,28.97,66.2,77,36,4.7,1514653200
<citipy.citipy.City object at 0x000001F1EBA4CA90>,atagay,ru,55.1,7.56,80,88,2.42,1514655871
<citipy.citipy.City object at 0x000001F1EA4A7E10>,rio gallegos,ar,-51.62,53.6,30,75,32.21,1514653200
<citipy.citipy.City object at 0x000001F1EA4E3898>,portland,au,45.52,44.08,93,75,5.82,1514652960
<citipy.citipy.City object at 0x000001F1EC253438>,plettenberg bay,za,-34.05,66.06,96,92,11.86,1514655693
<citipy.citipy.City object at 0x000001F1EA7A19B0>,guiglo,ci,6.55,88.83,47,76,4.81,1514655872
<citipy.citipy.City object at 0x000001F1EB824390>,camacha,pt,33.08,64.4,68,75,6.93,1514655000
<citipy.citipy.City object at 0x000001F1EB5476D8>,hualmay,pe,-11.1,73.8,73,12,4.92,1514655467
<citipy.citipy.City object at 0x000001F1EBE50A90>,barrow,us,-38.31,74.56,55,0,15.73,1514655462
<citipy.citipy.City object at 0x000001F1EBCCEA58>,georgetown,sh,6.8,75.2,94,75,2.24,1514653200
<citipy.citipy.City object at 0x000001F1EB0E1AC8>,ishinomaki,jp,38.42,38.92,100,0,7.38,1514655873
<citipy.citipy.City object at 0x000001F1EA76C0B8>,bria,cf,6.54,74.92,55,24,4.32,1514655874
<citipy.citipy.City object at 0x000001F1EB33FC50>,quatre cocos,mu,-20.21,80.6,78,40,2.24,1514653200
<citipy.citipy.City object at 0x000001F1EB510470>,ruatoria,nz,,,,,,
<citipy.citipy.City object at 0x000001F1EBBEC978>,saskylakh,ru,71.97,-21.83,32,36,2.91,1514655495
<citipy.citipy.City object at 0x000001F1EA7DA320>,ganzhou,cn,25.86,42.07,76,0,5.55,1514655875
<citipy.citipy.City object at 0x000001F1EA7A8320>,ancud,cl,-41.87,59.85,65,24,5.66,1514655442
